Cases,Deaths,Vaccination Rate,Population,Median Age,Household Income,Heart Disease,Stroke,Party,County,State,Cases per Capita,Deaths per Capita
35570,328.0,56.5,136710.0,35.9,71157.0,346.8,76.6,REPUBLICAN,Canadian,Oklahoma,0.26018579474800674,0.002399239265598713
1912,91.0,41.1,10827.0,37.8,32937.0,456.3,86.5,REPUBLICAN,Candler,Georgia,0.1765955481666205,0.008404913641821372
3506,52.0,31.4,13976.0,42.0,49523.0,391.9,85.9,REPUBLICAN,Cannon,Tennessee,0.250858614768174,0.003720663995420721
52052,621.0,44.9,212230.0,33.4,49143.0,340.6,69.1,REPUBLICAN,Canyon,Idaho,0.24526221552089714,0.0029260707722753615
17262,212.0,47.6,78324.0,36.6,51730.0,383.9,76.2,REPUBLICAN,Cape Girardeau,Missouri,0.2203922169449977,0.0027067054798018486
20989,273.0,71.7,93705.0,49.3,63690.0,382.2,75.3,REPUBLICAN,Cape May,New Jersey,0.22399018195400458,0.0029133984312469984
1883,27.0,46.4,10546.0,50.3,57538.0,234.6,71.5,REPUBLICAN,Carbon,Montana,0.17855110942537455,0.0025602124028067516
15210,258.0,59.1,63931.0,46.0,53624.0,336.9,59.3,REPUBLICAN,Carbon,Pennsylvania,0.23791274968325227,0.004035600882201123
4799,42.0,47.1,20356.0,37.2,50278.0,347.9,65.9,REPUBLICAN,Carbon,Utah,0.23575358616624092,0.0020632737276478678
4166,50.0,44.7,15477.0,38.0,60206.0,278.5,60.3,REPUBLICAN,Carbon,Wyoming,0.26917361245719457,0.0032306002455256186
1386,25.0,39.0,6918.0,36.9,59611.0,349.8,75.5,REPUBLICAN,Caribou,Idaho,0.20034692107545535,0.003613761202659728
906,16.0,39.8,4841.0,42.9,39664.0,362.1,83.8,REPUBLICAN,Carlisle,Kentucky,0.18715141499690147,0.003305102251600909
7405,84.0,63.1,35540.0,40.7,60390.0,264.8,74.2,DEMOCRAT,Carlton,Minnesota,0.20835678109172764,0.0023635340461451884
5624,64.0,55.2,32875.0,40.2,54956.0,375.5,80.4,REPUBLICAN,Caroline,Maryland,0.1710722433460076,0.0019467680608365018
6331,61.0,41.5,30184.0,40.0,64715.0,315.9,73.9,REPUBLICAN,Caroline,Virginia,0.20974688576729392,0.0020209382454280415
5683,87.0,46.5,27887.0,44.8,43505.0,466.4,66.2,REPUBLICAN,Carroll,Arkansas,0.20378671065370962,0.003119733209022125
22737,389.0,36.9,116022.0,34.5,49608.0,415.1,82.2,REPUBLICAN,Carroll,Georgia,0.19597145368981744,0.003352812397648722
3788,45.0,63.0,14562.0,47.9,51228.0,337.5,68.6,REPUBLICAN,Carroll,Illinois,0.26012910314517235,0.0030902348578491965
4046,56.0,34.7,19994.0,42.8,56429.0,295.4,75.9,REPUBLICAN,Carroll,Indiana,0.20236070821246374,0.0028008402520756227
