County,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
033,"Escambia County, Florida",300795.0,37.4,43918.0,23441.0,50783.0,16.88292691035423
053,"Hernando County, Florida",173119.0,48.0,41024.0,21411.0,26352.0,15.221899387126774
057,"Hillsborough County, Florida",1257913.0,36.3,49596.0,27149.0,208532.0,16.57761705300764
091,"Okaloosa County, Florida",185852.0,37.4,54684.0,28600.0,24183.0,13.011966510987238
123,"Taylor County, Florida",22660.0,41.4,36356.0,17045.0,3232.0,14.263018534863194
129,"Wakulla County, Florida",30824.0,39.6,52691.0,21797.0,3917.0,12.707630417856215
187,"Lumpkin County, Georgia",30428.0,36.1,43775.0,20908.0,5228.0,17.181543315367424
189,"McDuffie County, Georgia",21697.0,38.4,37487.0,17922.0,4724.0,21.772595289671383
201,"Miller County, Georgia",6054.0,42.3,32260.0,19674.0,1354.0,22.365378262305914
211,"Morgan County, Georgia",17870.0,41.2,47729.0,25933.0,2716.0,15.198656966983771
149,"Heard County, Georgia",11708.0,39.9,39909.0,18964.0,2813.0,24.026306798770072
219,"Oconee County, Georgia",33240.0,39.1,75004.0,33801.0,3069.0,9.232851985559567
095,"Dougherty County, Georgia",94220.0,33.6,31671.0,18619.0,28313.0,30.04988325196349
111,"Fannin County, Georgia",23614.0,48.9,34239.0,19164.0,5376.0,22.766155670365038
151,"Henry County, Georgia",206349.0,35.6,60781.0,25299.0,22834.0,11.06571875802645
153,"Houston County, Georgia",143205.0,34.4,54893.0,25195.0,21483.0,15.001571174190845
175,"Laurens County, Georgia",48203.0,38.2,34793.0,18625.0,11617.0,24.100159741094952
183,"Long County, Georgia",15285.0,29.9,42651.0,17158.0,2895.0,18.940137389597645
255,"Spalding County, Georgia",64011.0,37.2,41534.0,19783.0,13491.0,21.076065051319304
257,"Stephens County, Georgia",25910.0,40.7,37898.0,18557.0,4923.0,19.000385951370127
271,"Telfair County, Georgia",16391.0,39.4,26634.0,12489.0,3835.0,23.39698615093649
293,"Upson County, Georgia",26918.0,42.1,35329.0,17978.0,5407.0,20.08693067835649
303,"Washington County, Georgia",20982.0,39.1,33652.0,17515.0,4852.0,23.124582975884092
225,"Peach County, Georgia",27481.0,33.6,39844.0,19431.0,6133.0,22.317237363996945
229,"Pierce County, Georgia",18774.0,38.7,39067.0,20001.0,3808.0,20.28337061894109
231,"Pike County, Georgia",17807.0,38.4,53865.0,22191.0,1950.0,10.950749705172123
251,"Screven County, Georgia",14455.0,40.1,34848.0,18640.0,3795.0,26.253891387063298
267,"Tattnall County, Georgia",25343.0,36.1,37587.0,15280.0,5579.0,22.01396835418064
295,"Walker County, Georgia",68481.0,40.0,39963.0,20865.0,11157.0,16.29211022035309
135,"Gwinnett County, Georgia",825911.0,34.0,60445.0,25932.0,113986.0,13.801244928327629
049,"Charlton County, Georgia",13080.0,39.0,40111.0,17102.0,2285.0,17.46941896024465
015,"Bartow County, Georgia",100382.0,36.7,47197.0,21022.0,16996.0,16.93132234862824
097,"Douglas County, Georgia",133486.0,35.3,52691.0,23626.0,21227.0,15.902042161724825
161,"Jeff Davis County, Georgia",15042.0,35.9,36296.0,17684.0,3648.0,24.25209413641803
141,"Hancock County, Georgia",9233.0,42.7,25000.0,12381.0,2323.0,25.159753059677243
037,"Calhoun County, Georgia",6592.0,38.7,26986.0,14868.0,1972.0,29.91504854368932
285,"Troup County, Georgia",67776.0,36.1,41161.0,21443.0,15600.0,23.01699716713881
197,"Marion County, Georgia",8673.0,40.8,33301.0,17479.0,1758.0,20.26980283638879
249,"Schley County, Georgia",5017.0,40.0,38425.0,19037.0,1114.0,22.20450468407415
023,"Bleckley County, Georgia",12961.0,37.4,36073.0,20156.0,2665.0,20.561685055165498
109,"Evans County, Georgia",10902.0,35.6,36788.0,18998.0,2861.0,26.242891212621537
119,"Franklin County, Georgia",21998.0,40.2,34830.0,18234.0,4024.0,18.29257205200473
103,"Effingham County, Georgia",52961.0,36.0,63030.0,24824.0,5877.0,11.096844848095769
171,"Lamar County, Georgia",18139.0,38.1,41016.0,18800.0,3202.0,17.652571806604552
107,"Emanuel County, Georgia",22669.0,37.1,32046.0,17064.0,6396.0,28.21474260002647
239,"Quitman County, Georgia",2396.0,42.8,31068.0,14201.0,632.0,26.37729549248748
159,"Jasper County, Georgia",13748.0,37.9,42192.0,21297.0,2955.0,21.494035496072154
173,"Lanier County, Georgia",10250.0,33.9,39452.0,17264.0,2636.0,25.71707317073171
179,"Liberty County, Georgia",64899.0,27.4,43832.0,20791.0,11687.0,18.007981632998966
205,"Mitchell County, Georgia",23340.0,37.2,32054.0,15694.0,5528.0,23.684661525278493
253,"Seminole County, Georgia",8831.0,44.0,30521.0,17641.0,2268.0,25.682255690182313
289,"Twiggs County, Georgia",8808.0,45.2,31234.0,17952.0,2500.0,28.38328792007266
233,"Polk County, Georgia",41308.0,37.3,39208.0,18336.0,9528.0,23.065749975791615
269,"Taylor County, Georgia",8595.0,40.7,27455.0,17078.0,2343.0,27.260034904013963
275,"Thomas County, Georgia",44692.0,39.1,34035.0,19983.0,11588.0,25.928577821534056
279,"Toombs County, Georgia",27229.0,35.9,31189.0,18716.0,7243.0,26.6003158397297
209,"Montgomery County, Georgia",9050.0,37.8,32702.0,16460.0,2023.0,22.353591160220994
221,"Oglethorpe County, Georgia",14730.0,41.9,45729.0,20493.0,2396.0,16.26612355736592
247,"Rockdale County, Georgia",85650.0,37.1,52579.0,23461.0,12473.0,14.562755399883246
305,"Wayne County, Georgia",30187.0,37.4,35830.0,17270.0,6345.0,21.018981680855997
309,"Wheeler County, Georgia",7746.0,36.7,24382.0,8948.0,1323.0,17.079783113865222
009,"Baldwin County, Georgia",46018.0,34.1,32751.0,18622.0,12514.0,27.193706810378547
061,"Harrison County, Indiana",39213.0,41.0,50510.0,23244.0,5099.0,13.003340728839925
169,"Wabash County, Indiana",32650.0,41.9,45286.0,21201.0,4640.0,14.211332312404288
075,"Jay County, Indiana",21333.0,39.1,40235.0,19236.0,3082.0,14.447100735948998
127,"Porter County, Indiana",165168.0,38.8,62794.0,28669.0,16752.0,10.14240046498111
147,"Spencer County, Indiana",20960.0,42.5,52991.0,23641.0,2588.0,12.34732824427481
157,"Tippecanoe County, Indiana",175628.0,28.0,44246.0,23691.0,34870.0,19.854465119457036
057,"Hamilton County, Indiana",282977.0,35.8,82468.0,39521.0,14453.0,5.1074822335384145
087,"LaGrange County, Indiana",37463.0,30.6,47617.0,19356.0,6112.0,16.31476390038171
011,"Boone County, Indiana",58009.0,38.7,67255.0,37482.0,4299.0,7.410918995328311
107,"Montgomery County, Indiana",38215.0,39.8,46797.0,22679.0,6165.0,16.13240874002355
019,"Clark County, Indiana",111221.0,38.3,50496.0,24312.0,13384.0,12.03369867201338
021,"Clay County, Indiana",26865.0,40.8,46430.0,21474.0,4174.0,15.536943979155035
047,"Franklin County, Indiana",23042.0,40.2,49516.0,24085.0,3102.0,13.46237305789428
071,"Jackson County, Indiana",42769.0,38.7,46501.0,22568.0,5417.0,12.665715822207673
129,"Posey County, Indiana",25713.0,42.0,58750.0,29187.0,2531.0,9.843269941274842
165,"Vermillion County, Indiana",16098.0,41.7,42524.0,22875.0,2487.0,15.449124114796868
003,"Allen County, Indiana",358324.0,35.5,49370.0,25279.0,53836.0,15.024391332983557
043,"Floyd County, Indiana",75120.0,39.2,53961.0,27185.0,9853.0,13.116347177848775
081,"Johnson County, Indiana",141796.0,37.1,61231.0,28575.0,14733.0,10.390278992355215
051,"Gibson County, Indiana",33514.0,40.2,49329.0,24258.0,3736.0,11.147580115772513
117,"Orange County, Indiana",19829.0,40.2,38826.0,18576.0,3477.0,17.534923596752233
099,"Marshall County, Indiana",47057.0,38.4,45709.0,21933.0,7024.0,14.92657840491319
009,"Blackford County, Indiana",12665.0,41.9,39225.0,20322.0,1978.0,15.61784445321753
143,"Scott County, Indiana",24035.0,39.4,42898.0,20481.0,4493.0,18.693571874349907
039,"Elkhart County, Indiana",198662.0,35.1,45693.0,21109.0,32619.0,16.41934542086559
017,"Cass County, Indiana",38802.0,39.0,41940.0,21700.0,6251.0,16.109994330189167
021,"Bibb County, Georgia",155524.0,35.4,37550.0,20982.0,37039.0,23.815616882281834
177,"Wayne County, Indiana",68557.0,40.6,38350.0,21114.0,14326.0,20.89648030106335
023,"Butler County, Iowa",14909.0,43.5,52026.0,25269.0,1442.0,9.672010195184116
079,"Hamilton County, Iowa",15486.0,42.0,43589.0,24510.0,1869.0,12.068965517241379
175,"Union County, Iowa",12547.0,41.3,44838.0,23007.0,1974.0,15.732844504662468
195,"Worth County, Iowa",7562.0,44.0,50476.0,26187.0,856.0,11.31975667812748
001,"Adair County, Iowa",7588.0,45.6,47892.0,25564.0,704.0,9.277807063784923
037,"Chickasaw County, Iowa",12379.0,43.2,43971.0,24139.0,1252.0,10.113902576944826
059,"Dickinson County, Iowa",16818.0,48.4,56136.0,31790.0,1278.0,7.599001070281841
069,"Franklin County, Iowa",10623.0,43.4,48355.0,26102.0,1164.0,10.957356678904265
031,"Cedar County, Iowa",18452.0,42.8,58088.0,26567.0,1461.0,7.91784088445697
067,"Floyd County, Iowa",16177.0,43.7,43826.0,24590.0,2004.0,12.38795821227669
115,"Louisa County, Iowa",11348.0,39.7,50583.0,24272.0,1363.0,12.010927035600988
091,"Humboldt County, Iowa",9776.0,44.1,47897.0,26746.0,972.0,9.942716857610474
183,"Washington County, Iowa",21834.0,42.0,54554.0,26459.0,2089.0,9.567646789411011
035,"Cherokee County, Iowa",12013.0,47.2,48977.0,26330.0,1123.0,9.348206110047448
057,"Des Moines County, Iowa",40301.0,41.8,42451.0,24408.0,5453.0,13.530681620803454
109,"Kossuth County, Iowa",15437.0,46.8,51812.0,29127.0,1315.0,8.518494526138499
139,"Muscatine County, Iowa",42798.0,38.2,51425.0,25038.0,6049.0,14.133838029814477
