Cases,Deaths,Vaccination Rate,Population,Median Age,Household Income,Heart Disease,Stroke,Party,County,State,Cases per Capita,Deaths per Capita
32410,113.0,58.0,104729.0,33.5,61499.0,271.9,58.1,DEMOCRAT,Gallatin,Montana,0.3094653820813719,0.00107897525995665
6668,94.0,45.6,30195.0,40.6,42113.0,438.2,98.8,REPUBLICAN,Gallia,Ohio,0.22083126345421428,0.003113098195065408
13316,81.0,63.0,58538.0,36.3,72898.0,246.0,62.9,DEMOCRAT,Garfield,Colorado,0.22747616932590795,0.001383716560183129
13189,229.0,48.9,62190.0,36.0,51332.0,397.6,85.6,REPUBLICAN,Garfield,Oklahoma,0.212075896446374,0.0036822640295867503
20733,440.0,44.4,98296.0,44.9,43146.0,441.1,83.2,REPUBLICAN,Garland,Arkansas,0.2109241474729389,0.004476275738585497
5134,108.0,48.7,29376.0,45.6,49619.0,421.9,68.7,REPUBLICAN,Garrett,Maryland,0.17476851851851852,0.003676470588235294
6291,115.0,45.4,27823.0,39.2,45066.0,451.6,84.4,REPUBLICAN,Garvin,Oklahoma,0.22610789634475076,0.004133271034755418
8379,65.0,84.7,34895.0,26.1,49185.0,465.2,68.1,REPUBLICAN,Geary,Kansas,0.24012036108324974,0.0018627310502937384
15618,234.0,60.3,93961.0,44.6,79956.0,269.6,71.0,REPUBLICAN,Geauga,Ohio,0.1662178989155075,0.0024903949510967317
13046,176.0,58.7,58112.0,43.3,59338.0,337.3,61.5,REPUBLICAN,Genesee,New York,0.22449752202643172,0.0030286343612334803
5552,141.0,39.4,26491.0,42.4,38142.0,423.8,81.9,REPUBLICAN,Geneva,Alabama,0.209580612283417,0.005322562379676116
6586,81.0,39.6,23710.0,36.3,48319.0,581.9,108.7,REPUBLICAN,George,Mississippi,0.2777730915225643,0.0034162800506115565
14314,200.0,53.4,61605.0,49.2,48071.0,326.1,95.0,REPUBLICAN,Georgetown,South Carolina,0.23235127018910803,0.0032464897329762196
10745,133.0,45.6,33596.0,40.3,52620.0,359.7,78.3,REPUBLICAN,Gibson,Indiana,0.31982974163590905,0.003958804619597571
15018,223.0,44.2,49175.0,40.1,41886.0,526.2,90.1,REPUBLICAN,Gibson,Tennessee,0.30539908490086426,0.004534824605998983
15283,334.0,57.4,53400.0,49.7,42092.0,322.6,58.9,REPUBLICAN,Gila,Arizona,0.28619850187265916,0.006254681647940075
8195,159.0,38.3,29167.0,43.4,47528.0,469.2,97.6,REPUBLICAN,Giles,Tennessee,0.28096821750608564,0.005451366270099771
4848,96.0,52.9,26208.0,50.3,58325.0,275.7,58.5,REPUBLICAN,Gillespie,Texas,0.184981684981685,0.003663003663003663
6275,151.0,40.1,29922.0,46.9,49389.0,362.3,79.0,REPUBLICAN,Gilmer,Georgia,0.20971191765256333,0.0050464541140298105
5210,103.0,47.0,25289.0,49.8,43290.0,434.8,92.7,REPUBLICAN,Gladwin,Michigan,0.20601842698406422,0.004072917078571711
5883,55.0,53.4,27897.0,36.6,47395.0,327.6,82.7,REPUBLICAN,Glenn,California,0.21088289063340143,0.0019715381582248986
6751,86.0,61.3,37161.0,44.7,66701.0,326.2,75.5,REPUBLICAN,Gloucester,Virginia,0.18166895401092542,0.00231425419122198
21128,362.0,50.2,83974.0,41.0,50672.0,338.9,60.7,REPUBLICAN,Glynn,Georgia,0.251601686236216,0.0043108581227522804
4246,92.0,48.2,20667.0,36.5,53006.0,333.6,76.7,REPUBLICAN,Gonzales,Texas,0.20544829922098032,0.004451541104175739
3519,37.0,64.8,22482.0,48.3,89741.0,280.7,77.0,REPUBLICAN,Goochland,Virginia,0.1565252201761409,0.0016457610532870741
11660,115.0,65.3,46217.0,42.5,64765.0,290.6,59.8,REPUBLICAN,Goodhue,Minnesota,0.252288119090378,0.002488261894973711
14685,225.0,36.7,56790.0,37.8,44313.0,450.4,84.2,REPUBLICAN,Gordon,Georgia,0.2585842577918648,0.003961965134706815
5303,96.0,42.6,24926.0,39.7,42348.0,364.8,81.8,REPUBLICAN,Grady,Georgia,0.21274973922811521,0.0038514001444275056
