,Cases,Deaths,Population,Median Age,Household Income,Heart Disease,Stroke,County,State,Cases per Capita,Deaths per Capita
2541,11801,136.0,42911.0,38.3,57298.0,300.4,66.5,Shelby,Kentucky,0.2750110694227587,0.0031693505161846615
2543,10646,166.0,49317.0,38.4,50427.0,375.8,91.1,Shelby,Ohio,0.2158687673621672,0.003365979276922765
2545,4078,117.0,25677.0,37.9,37081.0,389.2,89.8,Shelby,Texas,0.1588191766950968,0.004556607080266386
2546,10025,194.0,42270.0,43.3,49625.0,291.7,70.4,Shenandoah,Virginia,0.2371658386562574,0.004589543411402886
2547,25313,166.0,89120.0,34.7,73098.0,211.6,61.4,Sherburne,Minnesota,0.28403276481149015,0.001862657091561939
2552,7508,63.0,29376.0,42.1,52008.0,297.3,63.0,Sheridan,Wyoming,0.25558278867102396,0.002144607843137255
2557,16609,211.0,69910.0,40.8,46217.0,389.4,111.0,Shiawassee,Michigan,0.2375768845658704,0.003018166213703333
2562,7734,118.0,34322.0,41.6,38659.0,457.8,52.0,Silver Bow,Montana,0.22533651885088282,0.0034380280869413206
2564,6206,124.0,27439.0,38.2,38362.0,480.4,76.5,Simpson,Mississippi,0.226174423266154,0.004519115128102336
2565,7707,80.0,34050.0,33.2,57227.0,214.8,48.0,Sioux,Iowa,0.22634361233480177,0.0023494860499265785
2568,6521,86.0,44503.0,47.1,37709.0,327.6,78.7,Siskiyou,California,0.1465294474529807,0.001932453991865717
2569,19800,164.0,117641.0,40.4,55925.0,250.0,67.0,Skagit,Washington,0.16830866789639667,0.001394071794697427
2576,7120,143.0,31979.0,43.6,37239.0,433.3,72.1,Smyth,Virginia,0.2226461115106789,0.004471684542981332
2578,7616,142.0,39711.0,39.3,46513.0,322.7,58.1,Snyder,Pennsylvania,0.1917856513308655,0.003575835410843343
2581,7333,80.0,51942.0,44.3,38642.0,328.2,66.9,Somerset,Maine,0.14117669708521044,0.0015401794309037003
2582,4841,66.0,26347.0,36.6,38447.0,522.5,103.3,Somerset,Maryland,0.18374008426006755,0.002505029035563821
2584,17599,369.0,77341.0,44.7,43597.0,364.8,62.5,Somerset,Pennsylvania,0.22755071695478465,0.0047710787292639095
2588,15115,359.0,64011.0,37.2,41534.0,379.5,100.3,Spalding,Georgia,0.2361312899345425,0.005608411054350034
2590,4875,58.0,20960.0,42.5,52991.0,376.7,75.3,Spencer,Indiana,0.2325858778625954,0.002767175572519084
2594,24606,206.0,124319.0,36.5,78345.0,282.4,61.1,Spotsylvania,Virginia,0.19792630249599819,0.0016570274857423241
2595,10727,105.0,38850.0,32.9,41353.0,346.6,79.8,St. Bernard,Louisiana,0.2761132561132561,0.002702702702702703
2596,13244,135.0,52627.0,36.8,58758.0,380.3,86.4,St. Charles,Louisiana,0.2516578942367986,0.0025652231744161744
2598,22910,372.0,84521.0,38.9,50786.0,415.1,101.4,St. Clair,Alabama,0.27105689710249525,0.004401273056400185
2600,38379,754.0,161865.0,41.9,48066.0,422.0,71.6,St. Clair,Michigan,0.23710499490316003,0.004658202823340438
2602,22912,126.0,84912.0,37.1,68426.0,240.0,57.0,St. Croix,Wisconsin,0.269832296966271,0.0014838892029395139
2603,6736,75.0,27914.0,37.0,30873.0,493.3,76.3,St. Francis,Arkansas,0.24131260299491294,0.002686823816006305
2604,16927,252.0,65602.0,38.7,37238.0,460.1,77.9,St. Francois,Missouri,0.25802566994908693,0.00384134630041767
2606,5353,73.0,21916.0,38.4,55443.0,402.6,85.2,St. James,Louisiana,0.24425077568899434,0.003330899799233437
2607,10053,177.0,45139.0,35.7,50635.0,490.4,94.4,St. John the Baptist,Louisiana,0.2227120671702962,0.003921221116994174
2608,57380,485.0,197115.0,42.5,64876.0,220.5,56.9,St. Johns,Florida,0.2910991045836187,0.002460492605839231
2610,12916,181.0,61111.0,38.8,44051.0,369.5,84.5,St. Joseph,Michigan,0.21135311155111192,0.00296182356695194
2611,20553,362.0,83534.0,36.9,35503.0,531.4,94.7,St. Landry,Louisiana,0.24604352718653483,0.004333564776019346
2612,18831,165.0,112097.0,37.5,43647.0,356.6,59.1,St. Lawrence,New York,0.16798843858444026,0.0014719394809852183
2616,12050,172.0,52559.0,36.6,42186.0,458.9,91.5,St. Martin,Louisiana,0.22926615803192602,0.0032725127951445045
2617,17375,196.0,107079.0,36.0,85672.0,324.6,58.1,St. Mary's,Maryland,0.16226337563854723,0.0018304242661959862
2618,11810,245.0,54078.0,37.6,41571.0,427.1,93.2,St. Mary,Louisiana,0.21838825400347647,0.004530492991604719
2621,27700,121.0,131885.0,34.6,97110.0,296.4,65.6,Stafford,Virginia,0.21003146680820411,0.0009174659741441407
2624,17956,222.0,60529.0,41.1,42518.0,396.8,79.7,Stanly,North Carolina,0.29665119199061607,0.0036676634340564026
2628,10745,80.0,25666.0,37.2,62559.0,272.5,52.9,Stark,North Dakota,0.41864723759058675,0.0031169640769890127
2630,4565,92.0,23267.0,41.2,40126.0,436.4,74.5,Starke,Indiana,0.19620062749817338,0.003954098078824086
2631,16167,339.0,61351.0,28.9,24927.0,314.7,53.8,Starr,Texas,0.2635164870988248,0.005525582305096901
2633,46065,338.0,151053.0,33.4,54551.0,198.2,54.2,Stearns,Minnesota,0.3049591865106949,0.002237625204398456
2634,9398,50.0,36512.0,39.4,56480.0,275.7,67.2,Steele,Minnesota,0.25739482909728306,0.001369412795793164
2636,5943,132.0,25910.0,40.7,37898.0,448.0,102.2,Stephens,Georgia,0.2293708992666924,0.005094558085681204
2637,9690,164.0,44929.0,40.1,43885.0,456.9,88.1,Stephens,Oklahoma,0.21567361837565938,0.0036502036546551225
2639,10768,163.0,47315.0,43.7,43472.0,284.5,72.5,Stephenson,Illinois,0.22758110535770898,0.003444996301384339
2641,9189,110.0,34190.0,40.5,48080.0,343.8,68.9,Steuben,Indiana,0.268762796139222,0.0032173150043872476
2642,18268,230.0,98951.0,41.7,47476.0,346.3,59.8,Steuben,New York,0.18461662843225435,0.0023243827753130337
2645,7134,120.0,43513.0,45.4,41742.0,284.6,72.3,Stevens,Washington,0.16395100314848435,0.0027577965205800564
2649,5714,112.0,29860.0,41.9,37965.0,459.6,87.6,Stoddard,Missouri,0.1913596784996651,0.003750837240455459
2650,10106,140.0,47063.0,43.4,42703.0,326.5,85.1,Stokes,North Carolina,0.21473344240698639,0.002974735992180694
2653,5343,102.0,31817.0,50.4,40850.0,438.2,72.3,Stone,Missouri,0.16792909450922464,0.0032058333595247823
2656,18126,73.0,90750.0,26.5,50516.0,269.4,56.9,Story,Iowa,0.19973553719008263,0.0008044077134986226
2657,25055,185.0,123836.0,36.9,58825.0,289.3,55.8,Strafford,New Hampshire,0.20232404147420782,0.0014939113020446396
2658,6333,94.0,21046.0,41.8,50120.0,317.5,78.8,Stutsman,North Dakota,0.3009122873705217,0.004466406918179226
2662,4843,68.0,21321.0,39.9,43510.0,422.1,80.9,Sullivan,Indiana,0.22714694432718915,0.0031893438394071574
2664,8008,60.0,43398.0,44.6,54463.0,283.2,54.0,Sullivan,New Hampshire,0.18452463247154247,0.0013825521913452233
2665,17494,117.0,77134.0,41.7,48089.0,312.3,49.9,Sullivan,New York,0.22680011408717296,0.0015168408224648015
2667,37990,587.0,156741.0,44.0,39479.0,426.3,71.9,Sullivan,Tennessee,0.24237436280232996,0.0037450316126603762
2670,9202,13.0,28091.0,36.0,63697.0,83.4,30.4,Summit,Colorado,0.32757822790217506,0.0004627816738457157
2672,12842,20.0,37232.0,36.8,83336.0,227.3,63.8,Summit,Utah,0.34491834980661795,0.0005371723248818221
